1,Bankruptcy or Indebtedness,16,10,0,26,1100,125,0,1225,2517,210,0,2727
,,68 126 0 194,,,,1772 2631 1 4404,,,,,,,
,2.1 Non Settlement of,,,,,,,,,,,,
,,14,42,0,56,867,644,0,1511,640,314,0,954
,Marriage,,,,,,,,,,,,
,,1 22 0 23,,,,120 1137 1 1258,,,,,,,
,2.3 Extra Marital Affairs,34,17,0,51,345,301,0,646,362,239,0,601
,,0 0 0 0,,,,107 105 0 212,,,,,,,
,2.5 Others,19,45,0,64,333,444,0,777,307,179,0,486
,,467 397 0 864,,,,449 265 0 714,,,,,,,
4,Impotency/Infertility,0,13,0,13,43,102,0,145,95,81,0,176
,,1630 1603 0 3233,,,,12345 6786 3 19134,,,,,,,
6,Illness (Total),596,812,0,1408,4973,2537,3,7513,5955,2436,2,8393
,,4 1 0 5,,,,14 9 0 23,,,,,,,
,6.2 Cancer,4,10,0,14,84,28,0,112,257,71,0,328
,,4 6 0 10,,,,82 23 0 105,,,,,,,
,6.4 Insanity/ Mental,,,,,,,,,,,,
,,412,410,0,822,3015,1275,1,4291,3119,1099,1,4219
,Illness,,,,,,,,,,,,
,,172 385 0 557,,,,1778 1202 2 2982,,,,,,,
7,Death of Dear Person,38,42,0,80,352,180,0,532,374,193,0,567
,,83 33 0 116,,,,2774 78 0 2852,,,,,,,
9,Fall in Social Reputation,37,23,0,60,214,52,0,266,230,40,0,270
,,10 9 0 19,,,,43 22 0 65,,,,,,,
11,Love Affairs,585,910,0,1495,3167,1652,2,4821,817,314,0,1131
,,43 26 0 69,,,,372 81 0 453,,,,,,,
13,Unemployment,55,28,0,83,1316,157,1,1474,1264,99,0,1363
,,38 31 0 69,,,,425 103 0 528,,,,,,,
,Suspected/ Illicit Relation,,,,,,,,,,,,
15,,13,22,0,35,170,143,0,313,161,96,0,257
,(Other than Sl. No. 2.3),,,,,,,,,,,,
,,0 7 0 7,,,,0 31 0 31,,,,,,,
17,"Physical Abuse (Rape, etc.)",6,26,0,32,5,19,0,24,8,7,0,15
,,58 47 0 105,,,,786 197 0 983,,,,,,,
19,Causes Not Known,672,664,0,1336,4138,1812,2,5952,4068,1069,1,5138
,,660 826 2 1488,,,,3497 1615 2 5114,,,,,,,
21,Total,5075,5655,2,10732,37941,18588,14,56543,40415,11629,10,52054
