1,Bankruptcy or Indebtedness,2096,188,0,2284,570,55,0,625,6417,617,0,7034
,,541 132 0 673,,,,61 20 0 81,,,,,,,
,2.1 Non Settlement of,,,,,,,,,,,,
,,198,28,0,226,9,0,0,9,1808,992,0,2800
,Marriage,,,,,,,,,,,,
,,10 10 0 20,,,,0 2 0 2,,,,,,,
,2.3 Extra Marital Affairs,101,34,0,135,13,0,0,13,872,545,0,1417
,,78 19 0 97,,,,3 1 0 4,,,,,,,
,2.5 Others,154,41,0,195,36,17,0,53,959,631,1,1591
,,0 1 0 1,,,,0 0 0 0,,,,,,,
4,Impotency/Infertility,29,15,0,44,8,6,0,14,169,205,0,374
,,7718 1828 0 9546,,,,3043 908 0 3951,,,,,,,
6,Illness (Total),5659,1992,1,7652,4577,1825,0,6402,21949,9527,8,31484
,,32 3 0 35,,,,14 1 0 15,,,,,,,
,6.2 Cancer,333,131,0,464,283,107,0,390,909,342,0,1251
,,288 64 0 352,,,,284 61 0 345,,,,,,,
,6.4 Insanity/ Mental,,,,,,,,,,,,
,,2224,811,0,3035,1349,574,0,1923,10365,4234,1,14600
,Illness,,,,,,,,,,,,
,,2782 983 1 3766,,,,2647 1082 0 3729,,,,,,,
7,Death of Dear Person,315,149,0,464,279,111,0,390,1372,702,1,2075
,,2865 58 0 2923,,,,898 20 0 918,,,,,,,
9,Fall in Social Reputation,132,28,0,160,40,10,0,50,659,225,0,884
,,22 13 0 35,,,,7 2 0 9,,,,,,,
11,Love Affairs,79,24,0,103,11,0,0,11,4730,2897,2,7629
,,302 44 0 346,,,,75 15 0 90,,,,,,,
13,Unemployment,387,41,0,428,52,5,0,57,2836,334,0,3170
,,372 73 0 445,,,,142 36 0 178,,,,,,,
,Suspected/ Illicit Relation,,,,,,,,,,,,
15,,81,15,0,96,6,4,0,10,608,274,0,882
,(Other than Sl. No. 2.3),,,,,,,,,,,,
,,0 0 0 0,,,,0 0 0 0,,,,,,,
17,"Physical Abuse (Rape, etc.)",0,1,0,1,0,1,0,1,11,27,0,38
,,312 34 0 346,,,,79 13 0 92,,,,,,,
19,Causes Not Known,2306,484,0,2790,760,266,0,1026,12009,5740,1,17750
,,2892 692 0 3584,,,,1104 330 0 1434,,,,,,,
21,Total,26108,5812,1,31921,11712,3627,0,15339,122724,48172,28,170924
