1,Bankruptcy or Indebtedness,12,11,0,23,1204,135,0,1339,2535,228,0,2763
,,56 150 0 206,,,,1884 2562 1 4447,,,,,,,
,2.1 Non Settlement of,,,,,,,,,,,,
,,27,45,0,72,902,633,0,1535,672,286,0,958
,Marriage,,,,,,,,,,,,
,,2 52 0 54,,,,93 1150 0 1243,,,,,,,
,2.3 Extra Marital Affairs,9,9,0,18,387,309,0,696,362,193,0,555
,,3 2 0 5,,,,121 100 0 221,,,,,,,
,2.5 Others,15,42,0,57,381,370,1,752,373,161,0,534
,,548 575 0 1123,,,,546 370 0 916,,,,,,,
4,Impotency/Infertility,0,4,0,4,46,100,0,146,86,80,0,166
,,1115 1441 0 2556,,,,11504 7624 8 19136,,,,,,,
6,Illness (Total),524,767,1,1292,4974,2521,6,7501,6215,2422,0,8637
,,2 3 0 5,,,,22 9 1 32,,,,,,,
,6.2 Cancer,4,11,0,15,76,15,0,91,213,78,0,291
,,7 10 0 17,,,,73 28 0 101,,,,,,,
,6.4 Insanity/ Mental,,,,,,,,,,,,
,,359,390,0,749,3056,1307,1,4364,3377,1152,0,4529
,Illness,,,,,,,,,,,,
,,152 353 1 506,,,,1747 1162 4 2913,,,,,,,
7,Death of Dear Person,36,45,0,81,356,226,0,582,386,171,1,558
,,93 4 0 97,,,,3017 56 1 3074,,,,,,,
9,Fall in Social Reputation,28,31,0,59,210,98,0,308,249,58,0,307
,,13 5 0 18,,,,39 26 0 65,,,,,,,
11,Love Affairs,672,906,0,1578,3169,1607,2,4778,799,360,0,1159
,,34 20 0 54,,,,336 53 0 389,,,,,,,
13,Unemployment,22,11,0,33,1254,191,0,1445,1121,86,0,1207
,,55 27 0 82,,,,386 107 0 493,,,,,,,
,Suspected/ Illicit Relation,,,,,,,,,,,,
15,,32,21,0,53,231,148,0,379,258,86,0,344
,(Other than Sl. No. 2.3),,,,,,,,,,,,
,,0 2 0 2,,,,0 18 0 18,,,,,,,
17,"Physical Abuse (Rape, etc.)",0,10,0,10,0,10,0,10,11,5,0,16
,,36 43 0 79,,,,679 122 0 801,,,,,,,
19,Causes Not Known,533,695,0,1228,4323,2811,1,7135,4087,1484,0,5571
,,807 820 0 1627,,,,4101 2043 2 6146,,,,,,,
21,Total,4616,5588,1,10205,38259,20828,21,59108,42029,12317,5,54351
