SI.No,State/UT,Number of Suicides,Percentage Share in Total Suicides,Projected Mid–Year Population #(in Lakh),Rate of Suicides (Col.3/Col.5)
1,ANDHRA PRADESH,8067,4.9,528.49,15.3
2,ARUNACHAL PRADESH,160,0.1,15.37,10.4
3,ASSAM,3262,2.0,351.55,9.3
4,BIHAR,827,0.5,1236.95,0.7
5,CHHATTISGARH,7828,4.8,296.07,26.4
6,GOA,321,0.2,15.61,20.6
7,GUJARAT,8789,5.4,700.75,12.5
8,HARYANA,3692,2.3,296.04,12.5
9,HIMACHAL PRADESH,889,0.5,74.06,12.0
10,JHARKHAND,1825,1.1,386.37,4.7
11,KARNATAKA,13056,8.0,669.86,19.5
12,KERALA,9549,5.8,355.37,26.9
13,MADHYA PRADESH,14965,9.1,848.60,17.6
14,MAHARASHTRA,22207,13.5,1247.62,17.8
15,MANIPUR,49,0.0,31.72,1.5
16,MEGHALAYA,226,0.1,32.95,6.9
17,MIZORAM,99,0.1,12.19,8.1
18,NAGALAND,43,0.0,21.98,2.0
19,ODISHA,5651,3.4,457.93,12.3
20,PUNJAB,2600,1.6,304.04,8.6
21,RAJASTHAN,5593,3.4,795.72,7.0
22,SIKKIM,266,0.2,6.78,39.2
23,TAMIL NADU,18925,11.5,764.79,24.7
24,TELANGANA,10171,6.2,377.71,26.9
25,TRIPURA,771,0.5,40.81,18.9
26,UTTAR PRADESH,5932,3.6,2317.04,2.6
27,UTTARAKHAND,717,0.4,114.39,6.3
28,WEST BENGAL,13500,8.2,982.85,13.7
29,TOTAL (STATES),159980,97.5,13283.6,12.0
30,UNION TERRITORIES,,,,
31,A & N ISLANDS,159,0.1,4.01,39.7
32,CHANDIGARH,120,0.1,12.12,9.9
33,D & N HAVELI AND DAMAN & DIU,171,0.1,11.08,15.4
34,DELHI (UT),2840,1.7,207.03,13.7
35,JAMMU & KASHMIR,247,0.2,134.40,1.8
36,LADAKH,11,0.0,2.98,3.7
37,LAKSHADWEEP,1,0.0,0.68,1.5
38,PUDUCHERRY,504,0.3,15.84,31.8
39,TOTAL (UTs),4053,2.5,388.1,10.4
40,TOTAL (ALL INDIA),164033,100.0,13671.8,12.0
